tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,100,12.04,0.33068106312292356,0.03564125036517678,4.69,0.35,1.37,1082.3573379905267,10.823573379905268,1.5874010519681994,9.131248610259012,0.2984797621356958,7.592955772012894,0.07490822157745769,10.012798746903451,1.0,0.06037976299247669,5.6355151235634855,10.469579317938678,22.978250586152114,1.5874010519681994
20,100,13.4,0.29155223880597014,-0.028052344047770267,5.67,0.39,1.42,1216.272412521781,12.16272412521781,1.0,10.467849802669631,0.25950932012817507,9.006383856575983,0.06320640339454053,11.393962077782783,1.0,0.0722007860905241,5.507428109976567,12.56390264558138,22.978250586152114,1.0
30,100,12.54,0.31398724082934604,0.2378683791202625,8.37,0.65,1.67,1152.1520697232975,11.521520697232974,1.9343364202676694,9.880749339185988,0.28057716765094676,8.288845052971585,0.06753441102794389,10.74342158279908,1.0,0.10846782294861551,5.628246544654265,11.047509470091113,23.366642891095843,1.9343364202676694
40,100,12.34,0.3188168557536466,-0.1979868680291898,9.59,0.57,1.6,1178.3896257203173,11.783896257203173,2.861938162210511,10.48336232591048,0.25736013875378094,8.751191081389205,0.05381367268565529,11.149761521056323,1.0,0.12441412409136957,5.315437639923129,11.214252096845819,23.811761799581316,2.861938162210511
50,100,11.91,0.3486397984886649,-0.29088050486342665,12.74,0.7,1.75,1133.9019201108147,11.339019201108147,1.7320508075688772,9.399961278823515,0.3142935924348842,7.775238121703737,0.08242008290663416,10.404456298472898,1.0,0.16505202422639453,6.23999063995113,10.851194089178307,23.916521486202797,1.7320508075688772
60,100,13.79,0.2766134880348079,-0.33742329456157594,15.91,0.94,2.01,1239.068173139644,12.39068173139644,1.9036539387158786,10.82459771763681,0.26619713222397423,9.09231778819872,0.06012625124251758,11.645676488548425,1.0,0.2058200198957903,5.810952915133462,11.643435146924308,25.45584412271571,1.9036539387158786
70,100,14.44,0.29797783933517996,0.15811208703463414,18.04,0.89,2.01,1249.5294991041822,12.495294991041822,1.515716566510398,10.54401050872104,0.2908229394073627,8.861376572984943,0.07331202805213033,11.57923957413892,1.0,0.23024467851314842,6.341431447209098,12.568797853674356,25.495097567963924,1.515716566510398
80,100,14.27,0.2889208128941836,-0.3357019207944866,19.94,1.0,2.12,1278.8913673343764,12.788913673343764,1.9932353156386882,11.04928048248313,0.2726824232027527,9.301601702765568,0.06420673087317541,11.967779334959108,1.0,0.247617547715918,6.132988939714678,12.384062677251094,27.49545416973504,1.9932353156386882
90,100,13.99,0.3154610436025733,0.15927369343129108,20.61,1.13,2.24,1268.3687210519693,12.683687210519693,1.5874010519681994,10.798440104074485,0.2900309926495859,9.00502481839581,0.07097094632433898,11.783513926307196,1.0,0.254196022106783,6.480420997840609,11.642668343464997,27.49545416973504,1.5874010519681994
100,100,13.93,0.3198923187365399,-0.20910244143964632,17.82,0.93,2.06,1229.3404638253105,12.293404638253104,2.0,10.508706495764859,0.2847168375459308,8.793265346977202,0.06906492206063097,11.444361605052354,1.0,0.21747880966269612,6.214598966818428,11.357048726698942,28.460498941515414,2.0
