tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,14.748,0.324299430431245,0.050036200650878444,6.964,4.16,5.608
20,250,17.2,0.35181767441860456,0.1193925532741728,12.364,5.86,9.3
30,250,19.988,0.3811366820092055,-0.016570987421507644,19.008,7.764,13.596
40,250,23.428,0.39605463547891406,-0.08575794928683778,25.624,8.744,17.104
50,250,26.864,0.42542823108993444,0.04609714461296824,32.536,9.62,20.324
60,250,30.892,0.44161854201735085,0.09893862306263222,39.9,10.396,24.096
70,250,33.988,0.45336424620454285,0.09127687173664803,42.88,10.248,25.616
80,250,33.316,0.46008452395245536,0.2875097348366383,42.944,9.704,24.788
90,250,32.236,0.4741953095917608,0.27563458373756694,39.212,9.356,22.568
100,250,27.028,0.48620571259434664,0.20754384680004695,27.32,7.288,15.636
110,250,25.008,0.4222699936020473,-0.03590199936864501,23.712,6.796,14.332
120,250,25.228,0.45467892817504363,0.1347765708812859,25.888,7.012,15.484
130,250,27.392,0.4513411214953271,0.09470798950814024,29.428,7.432,17.268
140,250,28.64,0.4601955307262571,0.16692853692230025,31.788,8.204,18.464
150,250,28.28,0.4636842998585573,0.011079069197549958,34.692,8.088,19.908
160,250,27.264,0.4526619718309859,0.10363933414535405,32.588,8.32,19.12
170,250,28.388,0.4422020572072707,0.18833412263136956,32.78,7.908,19.244
180,250,28.792,0.45770380661294796,0.0843323725146677,33.72,8.12,19.604
190,250,28.74,0.45882087682672235,-0.007938685571656797,33.0,8.336,19.344
200,250,24.368,0.4593801707156928,0.02236593515016343,30.484,7.908,17.66
210,250,26.404,0.4626311164975003,0.06251556035826876,30.948,8.424,18.36
220,250,27.992,0.4530517290654472,0.07121403872147235,30.92,8.436,18.396
230,250,30.104,0.45531331384533624,0.019842042501964606,34.476,9.204,20.188
240,250,29.484,0.449249762583096,0.006831751582656054,33.716,8.644,19.48
250,250,29.852,0.4626863191745947,0.03959810003200861,33.84,9.14,20.028
260,250,29.204,0.46913628270099994,0.06601569494536819,31.0,9.016,19.292
270,250,30.1,0.4797942857142856,0.12668803355593453,34.552,9.484,21.032
280,250,28.54,0.47848353188507353,0.08238435566321248,32.912,8.984,20.484
290,250,27.604,0.48496333864657304,0.43239297692197304,31.42,8.4,19.38
300,250,28.792,0.49205779383161996,0.01944374138980502,33.008,8.7,19.776
310,250,26.676,0.4741598440545809,0.4139728707519738,30.048,7.972,17.78
320,250,25.08,0.4712242424242423,0.2361213607262703,28.7,7.716,17.22
330,250,26.192,0.47459987782529023,0.006171039193325735,31.016,8.524,18.084
340,250,27.688,0.4745726668592891,0.11025301821502617,32.092,8.956,18.936
350,250,28.668,0.46015962048276826,0.18858563012604757,32.944,9.172,19.18
360,250,28.612,0.44199356913183285,0.09269191653701615,32.852,9.332,19.928
370,250,29.992,0.43609069085089347,0.18940119383832688,34.916,9.396,20.912
380,250,31.964,0.4402507821298962,0.029692764662519078,33.036,9.112,19.452
390,250,31.972,0.44140172651069687,0.1913454728303985,33.144,8.944,19.252
400,250,32.092,0.47489717063442605,0.24164715377050808,33.788,8.824,19.512
410,250,30.956,0.4834107765861222,7.249859031978292e-05,33.596,8.728,19.224
420,250,29.616,0.46765640194489455,0.1730130390335679,32.664,7.884,18.54
430,250,30.876,0.4603109211037699,0.08470810562337193,33.44,8.248,18.984
440,250,29.476,0.4903997828742028,0.05254183041162323,31.548,8.412,18.312
450,250,28.336,0.4772795031055901,0.1355253533926793,28.16,7.932,16.424
460,250,27.464,0.46401281677832795,-0.06609389016048575,28.624,7.94,16.716
470,250,27.008,0.44199526066350714,0.036257143074246684,29.216,7.756,17.172
480,250,27.812,0.48200143822810304,0.22055444705219773,31.016,8.112,17.944
490,250,28.812,0.4683132028321533,0.20490600795670302,30.032,8.456,18.12
500,250,28.764,0.4648760951188986,0.2025083810088487,32.14,8.644,18.796
