tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,16.82,0.3849065398335314,0.2294042334556485,8.288,3.968,5.928
20,250,24.232,0.4180059425552989,0.36478440722536265,15.38,5.28,10.104
30,250,32.996,0.41016511092253616,0.06098422267057695,22.58,6.036,13.796
40,250,40.852,0.4354814452168805,0.1366966351605628,31.648,7.076,18.164
50,250,48.888,0.44857797414498446,0.31388437736116387,40.716,7.992,22.46
60,250,56.168,0.46127389260789053,0.28259271472211644,49.36,8.776,26.244
70,250,56.604,0.5079219843120628,0.14050229246068177,49.1,8.26,25.82
80,250,55.516,0.5430399884717918,0.14596431228778362,45.144,7.836,24.036
90,250,47.828,0.560595132558334,-0.06276324752021317,38.392,6.956,21.244
100,250,35.904,0.5196729055258467,-0.027422431790253957,27.716,6.5,15.732
110,250,33.604,0.47095679085823106,-0.09828762139682307,26.412,6.74,15.936
120,250,37.852,0.454113494663426,0.3044230042071267,28.66,7.5,17.716
130,250,44.788,0.47220612664106465,0.17155003731179252,35.424,8.504,21.536
140,250,49.692,0.4786892055059164,0.225438539609257,42.204,9.332,24.684
150,250,53.376,0.4909886091127098,0.32480709514277173,44.488,9.04,26.092
160,250,49.872,0.516408726339429,0.3381043680353468,40.664,8.328,23.864
170,250,42.028,0.525929380413058,0.03977403736848646,35.396,7.224,20.384
180,250,41.808,0.49582319173363953,0.11239391153670376,31.236,7.472,19.232
190,250,40.172,0.4943108632878621,0.10692726754880856,29.756,7.636,18.448
200,250,42.22,0.47935992420653717,0.1882297538657521,32.548,8.14,20.272
210,250,45.772,0.4888931224329285,-0.03889131040371671,35.54,8.476,21.568
220,250,47.968,0.49413075383589056,0.099037185546098,38.3,8.268,22.872
230,250,48.92,0.4873053147996729,0.35775088585473297,39.684,8.204,23.26
240,250,47.228,0.5120647073769797,0.22230014493690292,37.896,7.716,21.832
250,250,43.02,0.5125002324500232,-0.04185487522419753,36.356,7.6,20.72
260,250,38.256,0.5004215809284818,0.056258754081846246,33.304,7.172,19.492
270,250,40.204,0.4906039200079595,0.07615243478068873,32.98,7.436,19.236
280,250,41.552,0.4790304197150559,0.2192962587957441,34.512,7.688,20.12
290,250,45.584,0.47154299754299744,0.1286090279037836,37.156,8.292,21.92
300,250,46.38,0.4641707632600258,0.08036234031503785,38.136,8.312,22.396
310,250,47.108,0.48316990744671817,0.2069377340039719,38.244,8.092,22.872
320,250,50.62,0.48715638087712376,0.11067615980643979,39.764,8.308,23.884
330,250,48.096,0.5058955422488356,0.02567028027202927,38.344,8.008,23.136
340,250,47.94,0.5097535252398833,0.05163509691045575,38.588,8.044,23.304
350,250,44.376,0.5151772129078782,-0.00010693875207231181,34.26,8.044,21.32
360,250,42.092,0.5027178561246792,0.1967060790439162,32.616,7.616,20.28
370,250,42.828,0.4884143083963761,0.13093301680313962,33.444,7.628,20.004
380,250,44.86,0.4883577351761035,-0.025551563126330206,36.036,8.444,22.088
390,250,43.168,0.4822742772424018,0.2756292774506998,35.184,8.6,21.692
400,250,44.892,0.48081368618016573,0.23267136740679623,36.232,8.552,22.604
410,250,45.312,0.4913149717514125,0.15331938717433308,38.004,8.608,23.088
420,250,45.048,0.4900784940507903,0.27691747897933816,38.448,8.296,22.98
430,250,44.664,0.5101644277270285,0.2648203838196097,37.984,8.1,22.676
440,250,47.416,0.5208557448962376,-0.02787011457770306,38.792,8.184,23.276
450,250,43.852,0.5138772233877589,0.2794076235453391,35.656,7.784,21.276
460,250,42.056,0.510632680235876,0.1206245097230067,34.124,7.684,20.116
470,250,40.44,0.5004233432245302,0.3053868473213641,33.308,7.268,19.56
480,250,41.08,0.4853966893865629,0.2680951031052777,32.832,7.384,19.188
490,250,43.788,0.4961699095642642,0.2791236550846411,37.256,7.628,21.072
500,250,44.66,0.5088139722346618,0.07329845470908726,39.356,8.048,22.756
