tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,100,18.87,0.4117700052994171,-0.1123126054427296,8.53,6.08,2.15
20,100,28.86,0.4218641718641718,0.028821240862095795,15.55,6.58,2.24
30,100,38.82,0.4518186501803194,0.08937312636500687,23.8,6.36,2.2
40,100,49.83,0.45931165964278553,0.09497113123768466,32.59,6.47,2.24
50,100,60.96,0.4696981627296588,0.05460074203204672,42.03,6.6,2.25
60,100,72.36,0.4746849087893863,0.003060486667232709,51.02,6.92,2.28
70,100,76.28,0.5109884635553226,0.06722414322782766,55.18,7.08,2.33
80,100,64.77,0.5582846997066544,0.061150585400493306,44.21,5.64,2.13
90,100,62.8,0.5737898089171976,-0.004726909882810523,36.2,6.01,2.22
100,100,47.94,0.5613308302044222,-0.011906177424892068,22.93,5.05,2.1
110,100,52.25,0.5081014354066986,0.03701949522637985,26.72,4.7,2.03
120,100,52.2,0.47595019157088125,-0.08568317494334542,31.31,5.02,2.12
130,100,62.09,0.456693509421807,-0.02202656699378714,36.83,5.21,2.12
140,100,70.99,0.4488984363994928,-0.09937879676690288,41.78,4.91,2.08
150,100,71.68,0.48255022321428576,-0.1295045507524477,43.24,4.94,2.09
160,100,64.08,0.5085642946317104,0.18611057045100904,43.69,4.72,2.07
170,100,57.39,0.5345025265725736,0.397687974139196,38.8,4.64,2.03
180,100,60.64,0.5488918205804749,0.3308395163203629,38.31,5.12,2.09
190,100,51.52,0.5452445652173914,-0.07230736261759334,33.49,6.2,2.23
200,100,51.61,0.5071323386940516,-0.09877386644162466,33.49,6.18,2.26
210,100,53.38,0.5004458598726114,-0.039480687555576634,35.61,6.09,2.25
220,100,58.21,0.5100515375365058,-0.01801152615583961,39.18,5.91,2.21
230,100,60.36,0.49733267064280984,-0.006178410682200014,44.27,6.25,2.27
240,100,57.0,0.5033298245614035,-0.1147090853961311,41.97,6.15,2.24
250,100,55.7,0.5218491921005386,-0.007307119212684174,43.81,5.84,2.2
260,100,54.26,0.542878732030962,0.018455354428163366,41.17,6.21,2.26
270,100,49.85,0.5271233701103311,-0.05152167100703983,38.35,5.63,2.13
280,100,46.95,0.5032992545260915,-0.021249093787798354,37.97,6.0,2.23
290,100,52.15,0.511744966442953,-0.10785903114450157,35.09,5.68,2.15
300,100,57.4,0.5166724738675958,-0.11924268715231089,36.55,5.53,2.11
310,100,56.64,0.5165642655367231,-0.0884850919278074,35.17,5.76,2.19
320,100,60.05,0.49508909242298094,0.06284227949719064,38.16,5.77,2.2
330,100,68.84,0.4920366066240558,0.10313883759248567,43.52,6.1,2.23
340,100,62.52,0.5192258477287268,0.297837560098267,39.97,5.36,2.08
350,100,59.84,0.5491076203208556,0.1249384934113102,39.6,6.05,2.18
360,100,46.82,0.5395472020504057,0.06345735403676911,32.23,6.42,2.23
370,100,52.58,0.5138569798402435,-0.027627090964852254,34.32,6.26,2.23
380,100,57.92,0.48391229281767956,0.0832400277452636,36.42,6.0,2.2
390,100,63.18,0.49363089585311815,0.15895818871127212,37.81,6.12,2.21
400,100,58.43,0.48485195960978955,-0.013761657275088376,35.88,6.0,2.21
410,100,64.94,0.5020572836464428,0.07265442663798057,39.36,5.94,2.2
420,100,67.34,0.5040184140184141,-0.06908724844208357,44.29,5.82,2.19
430,100,65.52,0.5189468864468865,-0.15666842121038152,40.1,6.11,2.26
440,100,58.75,0.5356306382978724,-0.18539826748368868,36.0,6.62,2.32
450,100,53.93,0.5144761728166141,-0.0033389948625065233,34.28,6.23,2.24
460,100,46.82,0.4654677488252883,0.178033501831468,31.74,6.06,2.23
470,100,52.03,0.4810013453776667,0.03515991591774768,34.89,6.36,2.28
480,100,56.52,0.48994692144373664,-0.07788127060865133,37.88,6.18,2.26
490,100,55.47,0.4920840093744365,0.013167563785924269,39.54,5.95,2.25
500,100,54.97,0.5016427142077498,-0.004956407892085154,39.15,6.07,2.24
