tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,400,16.215,0.340849522047487,-0.009106375680793784,7.465,7.95,6.3775
20,400,20.87,0.3784906564446575,0.0703190196002784,13.7675,9.8425,10.6075
30,400,26.66,0.39065360090022505,0.07754806505494069,20.2825,10.8125,14.7125
40,400,32.7175,0.3933191334912509,0.1113905281784234,26.6775,11.365,18.215
50,400,38.9575,0.3927461015208882,-0.029892082588868284,33.9725,12.295,22.2725
60,400,45.43,0.389963405238829,0.042326593832466675,42.195,13.33,26.72
70,400,46.2275,0.4189290736033746,0.14337610265326292,43.9975,12.4525,26.795
80,400,43.28,0.45616306608133095,0.005354935314308852,40.065,11.2225,24.23
90,400,40.9025,0.48456252674041944,0.0023360607868149978,36.675,10.4,22.56
100,400,33.485,0.4752642974466179,0.07210520663900091,27.6275,9.8725,17.74
110,400,32.3025,0.4574779428836777,0.047121126634122955,26.9675,10.1875,17.6725
120,400,35.14,0.44273726522481516,0.07301779749363738,29.1825,10.1575,18.6825
130,400,37.295,0.44097265048934187,0.09177474584933133,31.405,10.7325,20.2125
140,400,39.765,0.43950207468879676,0.06811999146019933,32.865,10.9625,21.2275
150,400,42.1025,0.44063164301407287,0.043252011949435114,36.1175,11.7175,22.9925
160,400,43.9775,0.44180333693365936,0.06237653875372363,37.8525,11.6775,24.2275
170,400,40.6125,0.4610183133271777,0.11497835789711479,34.97,11.1575,22.485
180,400,38.5825,0.4518316270329814,0.049942006884985755,33.875,10.89,21.5275
190,400,38.505,0.45285352551616675,0.03885119395494856,34.0325,11.44,21.6775
200,400,39.63,0.44922123391370183,0.09389824260778291,34.01,11.0775,21.9425
210,400,39.275,0.45930553787396566,-0.019078186046934016,33.4975,11.095,21.705
220,400,38.7325,0.45502081585232035,0.16349414820170832,33.6275,11.045,21.2475
230,400,39.2425,0.46267837803401934,0.014326415073077189,34.3425,11.16,21.5525
240,400,40.6325,0.44379637605365163,0.02389157140688104,34.3575,10.705,21.33
250,400,39.8625,0.443337566635309,0.038864923162415486,33.6975,10.9025,21.3075
260,400,42.3925,0.4406904228342279,-0.026219056342971017,35.275,11.0775,22.505
270,400,42.265,0.4444599550455459,0.02959770567322241,35.275,10.5825,22.0675
280,400,41.1025,0.43729563286904694,0.08491356333660596,33.8125,10.7375,21.68
290,400,41.1875,0.44754977238239757,0.09626995560001023,33.8975,11.1125,22.3175
300,400,40.545,0.4428163152053275,0.09562752605502477,33.5975,10.4675,21.41
310,400,39.32,0.44183208290946085,0.06318533407905252,33.64,10.8175,21.295
320,400,39.7375,0.44615366467442596,0.10336560718919452,34.48,11.0,21.45
330,400,41.255,0.4508756514361896,0.031143854745692593,35.3775,11.3475,22.03
340,400,40.945,0.4465389546953231,0.05512049941332095,33.655,10.7575,21.565
350,400,41.395,0.4614274066916295,0.06799577445762896,35.3475,11.155,22.2375
360,400,41.5025,0.46062119751822195,0.010910350030698535,35.085,11.3675,22.1975
370,400,39.3375,0.45475484588496995,0.06351459229591987,33.1325,10.465,20.7
380,400,38.88,0.44805652006172836,0.12669944805538058,32.34,10.6775,20.735
390,400,37.4,0.4438168449197861,0.037534353801917046,32.1875,11.2075,20.5775
400,400,37.8975,0.4609296457549972,-0.04565149677448839,32.46,11.485,21.0275
410,400,37.5425,0.45094243191050154,-0.0334236029650567,33.2125,11.3675,21.565
420,400,38.3625,0.43369811013359416,0.19542018464192937,34.24,11.385,21.91
430,400,40.63,0.428734924932316,0.19146616743929407,36.2175,11.3475,22.845
440,400,40.5075,0.42579260013577747,-0.025705217510673003,36.59,11.04,22.705
450,400,40.085,0.4373063490083573,-0.006562339142437842,35.41,10.77,22.02
460,400,41.2725,0.4464760130837726,-0.03170354073014769,34.965,11.01,21.99
470,400,38.74,0.4473935209086217,-0.024180565877098308,33.0,10.84,20.4425
480,400,38.98,0.4532250513083633,0.019669104079740696,33.565,11.025,21.2875
490,400,38.18,0.4509825170246202,0.013096461753579227,32.685,11.6275,21.1
500,400,40.0725,0.4468960945785765,0.05356548246317696,34.94,11.69,22.7775
