tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,19.02,0.33835793901156674,0.4470699677745443,8.276,4.38,6.168
20,250,26.636,0.3919729689142515,0.12910578079130103,16.176,6.384,11.14
30,250,35.788,0.3946301553593383,0.18606615498664636,23.176,7.492,15.516
40,250,44.828,0.40322477023289016,0.011133545303811984,31.524,8.896,19.952
50,250,53.604,0.41266562196850987,0.06487171037269468,40.696,9.916,24.724
60,250,62.06,0.42050325491459883,0.14356455140692245,49.712,10.552,29.108
70,250,61.272,0.4713241937589763,0.17164592804144682,49.652,9.588,28.892
80,250,54.836,0.5183692464804144,0.20028086701142517,45.496,8.492,26.236
90,250,45.376,0.5272355430183358,0.02720716097381628,37.656,7.16,21.556
100,250,33.208,0.5017952300650446,0.2379113265535815,24.612,6.396,15.188
110,250,37.056,0.46443782383419685,0.1197743117272277,26.232,7.276,16.5
120,250,41.396,0.46591747994975363,0.05888364107893226,30.672,7.748,19.128
130,250,45.852,0.44728360813050694,0.2440487456654259,35.544,7.948,21.8
140,250,50.088,0.4505689187030826,0.11691591782755861,40.572,8.576,24.34
150,250,52.208,0.47940790683420165,0.12511775422008195,42.228,8.368,24.84
160,250,52.452,0.4986010828948373,0.09645094333123727,42.184,8.216,24.576
170,250,50.344,0.5283241697123788,0.37321431829974244,40.148,7.872,22.912
180,250,43.44,0.5111255985267036,0.2450578259182889,33.628,6.844,18.836
190,250,44.008,0.494754408289402,0.08647386796486936,33.56,7.144,19.452
200,250,42.208,0.49115845337376807,0.2234061962305002,33.548,7.656,19.188
210,250,42.696,0.4979501592655049,0.16675835649476195,34.984,7.616,20.576
220,250,46.008,0.5014863501999651,0.17205842850489975,38.72,8.148,22.896
230,250,45.904,0.4919937260369467,0.010452970033230627,39.176,8.036,22.736
240,250,46.136,0.509003641408011,0.24726762143440578,39.768,8.088,22.892
250,250,45.116,0.5127798563702455,0.23314651897432637,37.248,7.908,22.032
260,250,43.744,0.5115669348939282,0.11987513440186469,34.84,7.564,20.56
270,250,42.392,0.4749462162672202,0.17287454894731544,33.284,7.836,19.788
280,250,42.352,0.47142123158292404,0.1359788558141519,33.24,8.548,20.312
290,250,47.7,0.4506314465408805,0.13761853409214972,34.94,8.472,21.832
300,250,50.4,0.4652038095238096,0.14532902683909996,36.856,8.28,23.268
310,250,51.016,0.4635226595577857,0.03585144378937599,37.584,8.492,23.316
320,250,49.708,0.48501456505995,0.17500948785925932,37.132,7.964,22.352
330,250,50.168,0.48606538032211777,0.24564783065845916,39.18,8.364,22.836
340,250,49.796,0.49364639730098814,0.062864200959704,38.632,7.964,22.14
350,250,52.156,0.4916189891862872,0.15700651937626017,38.02,8.184,22.052
360,250,50.872,0.48630979713791467,0.02078084377800655,37.908,8.672,21.756
370,250,49.076,0.48986323253728914,0.1642058991496285,35.492,8.368,21.356
380,250,47.496,0.503256189994947,-0.046147230383131795,36.28,8.68,22.18
390,250,46.872,0.5112968083290663,0.14075110704694108,35.48,8.568,21.652
400,250,46.732,0.49910570915004704,0.12213567437545556,36.344,8.264,21.98
410,250,43.868,0.5135293152183824,0.24551425930749365,37.64,8.28,22.08
420,250,45.144,0.5168612440191387,0.15800247191915587,38.764,9.196,23.276
430,250,40.98,0.5148521229868228,0.1632707358418212,37.836,8.456,22.04
440,250,42.16,0.512734724857685,0.1927308818631994,36.72,7.996,20.804
450,250,43.88,0.5178384685505926,0.03704240404389505,36.628,7.96,21.572
460,250,42.64,0.5186484052532834,0.3085932831941824,34.74,7.6,20.28
470,250,44.096,0.5344869375907111,-0.0547429269504642,36.116,7.896,21.152
480,250,43.724,0.5218453938340499,0.08972388848135977,35.764,7.468,21.132
490,250,44.432,0.51968023046453,0.1393356942094202,36.312,7.472,20.904
500,250,46.428,0.5129880244679934,0.16630067892393735,39.272,8.132,22.508
