tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,15.18,0.35297285902503295,0.18589310882413032,7.188,4.108,5.724
20,250,17.924,0.39108502566391423,0.0008125201736355092,12.468,6.232,9.608
30,250,21.828,0.40499395272127536,0.26717283840805567,18.46,7.716,13.312
40,250,25.82,0.4094630518977538,-0.10679846136127093,25.192,8.596,16.908
50,250,29.8,0.43145664429530206,0.17420680041169057,32.924,9.58,20.684
60,250,34.352,0.4392426641825804,0.02005030693665868,40.064,9.636,23.892
70,250,34.6,0.4599315606936416,0.06381104555883312,42.096,9.62,24.7
80,250,35.94,0.4713291040623262,0.06871557066487456,41.068,8.992,23.332
90,250,34.304,0.4846408582089552,0.24049471395964067,38.424,8.152,21.712
100,250,28.316,0.4835942929792343,-0.06779593382249564,31.512,8.104,18.936
110,250,26.352,0.4742440801457195,0.029085883545255927,26.168,7.44,16.328
120,250,28.14,0.4674245913290689,0.0466521837420425,26.424,8.212,16.976
130,250,29.608,0.46827235882193996,-0.021151266194499575,30.744,8.552,19.104
140,250,28.056,0.46783575705731395,0.03367955301092253,29.868,8.232,18.428
150,250,29.544,0.4693820741944219,0.13851731503781453,32.416,8.548,19.776
160,250,30.004,0.46198053592854293,-0.034484404690357635,34.016,8.28,20.28
170,250,30.516,0.45842181150871664,0.1545832845505253,35.112,8.12,20.2
180,250,28.988,0.45680198702911556,0.09315828235599824,32.528,7.748,18.388
190,250,27.688,0.4499034960993933,0.31465811171441693,29.964,7.304,16.92
200,250,28.616,0.4337970366228683,0.2802153793142943,30.432,7.54,17.188
210,250,27.66,0.44953232104121477,0.16982578711531462,29.88,7.376,17.032
220,250,28.212,0.46817127463490715,0.028923023977012196,31.884,7.796,17.664
230,250,29.236,0.4974201669174989,-0.06493704703768273,32.068,7.992,18.404
240,250,27.868,0.4787122147265681,0.34979356231310416,32.12,7.608,18.212
250,250,27.9,0.4589241577060932,-0.006937100161221013,30.056,7.7,17.496
260,250,28.432,0.47724141812042764,0.0939815618952451,30.888,8.212,18.924
270,250,28.196,0.4931042701092354,0.257993351053897,30.428,8.228,18.348
280,250,26.704,0.4666231276213302,0.2802307889276365,30.152,8.104,17.86
290,250,25.092,0.4480542005420054,0.11009142330647002,29.688,7.908,17.804
300,250,25.728,0.46082338308457715,-0.05343566758332452,29.612,7.988,18.244
310,250,27.276,0.4669488194749962,-0.0885033931833944,32.908,8.376,19.78
320,250,27.872,0.4525660160734788,-0.05244288354761928,32.936,8.164,19.468
330,250,28.644,0.4480664711632454,0.2504904672796033,33.904,8.492,20.324
340,250,29.208,0.4530090386195562,-0.1373591637421964,32.96,8.524,20.324
350,250,28.444,0.4627697932780199,-0.05128510068980078,30.82,7.972,19.016
360,250,27.236,0.4671329123219268,0.035375023019690754,30.192,8.12,18.868
370,250,28.792,0.4704084467907752,0.010603443781303236,32.168,8.3,20.048
380,250,28.312,0.47031477818592826,-0.10380758469660165,31.236,8.364,19.312
390,250,28.44,0.4609856540084387,-0.0011619100251516645,32.088,8.08,18.932
400,250,27.912,0.486671252507882,0.013715632257185502,32.464,8.02,18.944
410,250,29.572,0.47619045042607877,0.027029255140033917,33.372,8.484,19.648
420,250,30.996,0.4720862046715706,0.04716897474568988,34.024,7.96,19.764
430,250,30.128,0.47332554434413177,0.11472676666144856,34.78,8.18,20.24
440,250,29.188,0.4688628203371248,0.17928558487590981,30.844,7.484,18.316
450,250,30.616,0.460415991638359,0.15698061058945142,33.568,8.036,19.568
460,250,30.568,0.4875320596702435,0.22029838982112088,33.728,8.144,19.484
470,250,29.008,0.4781434087148373,0.12305423892434768,33.868,8.148,19.784
480,250,30.968,0.4609940583828469,0.34975988606439623,33.324,8.1,19.164
490,250,30.46,0.486721996060407,0.06905574875844213,34.056,8.532,20.192
500,250,31.16,0.4836662387676509,-0.10959552798350285,34.008,8.388,20.572
