tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,15.516,0.342588295952565,0.14172038584948202,6.672,4.396,5.72
20,250,18.252,0.3979110234494849,0.19750600855723366,12.12,5.66,9.02
30,250,21.432,0.42593654348637555,0.1713786560659536,17.748,6.78,12.428
40,250,25.056,0.434162196679438,0.050534541329816544,25.02,8.352,16.524
50,250,29.628,0.44102983664101525,0.04001587359500579,32.424,8.66,20.28
60,250,34.776,0.42851529790660225,0.12466630681421084,40.304,9.8,24.252
70,250,36.316,0.4560022028857804,-0.008799378099104806,43.856,9.576,25.432
80,250,34.68,0.4621305651672434,0.2528753260434521,42.068,9.04,24.172
90,250,31.496,0.4981214122428246,0.039744149047260556,37.736,8.624,21.876
100,250,27.736,0.48158061724834145,-0.026403469313815656,29.512,7.72,17.696
110,250,24.532,0.4664894831240829,-0.08676482514799884,24.976,7.62,15.704
120,250,24.344,0.428370686822215,0.29414032316990096,24.924,7.132,15.66
130,250,25.62,0.4273742388758781,0.12929958198480715,25.524,7.208,15.692
140,250,28.076,0.44536087761789434,0.34341019734407,30.692,7.868,18.304
150,250,30.24,0.45367513227513223,0.05112450605575438,33.148,7.728,18.828
160,250,28.916,0.4633033614607829,0.116036013656722,33.224,7.38,18.588
170,250,27.58,0.457513560551124,-0.16118791361340937,32.404,7.752,18.012
180,250,27.268,0.44894645738594696,0.024978732501687147,32.988,7.684,18.476
190,250,26.692,0.4265529746740597,0.04387936648657934,30.144,6.988,17.076
200,250,28.352,0.4338431151241535,-0.004269999133187743,30.052,7.96,16.888
210,250,27.928,0.44902778573474644,0.12003551899402694,31.44,8.552,18.152
220,250,27.66,0.46278004338394796,-0.0041099615179784246,31.248,8.18,17.98
230,250,29.32,0.47054952251023185,0.11410506516578345,31.636,7.66,18.32
240,250,27.904,0.4926422018348624,0.1445256899080122,30.336,7.232,17.364
250,250,29.204,0.5057570195863581,0.020463508143171383,31.716,7.928,17.88
260,250,28.612,0.509391304347826,0.10025685602305265,30.2,7.272,16.96
270,250,28.592,0.49367879127028536,0.08065590630272142,31.728,8.156,18.436
280,250,28.164,0.4881198693367419,0.18538691911209418,30.376,7.752,17.648
290,250,28.172,0.47561039329831045,0.21497795679202308,30.504,7.396,17.528
300,250,28.892,0.4923411324934237,0.0971367253787384,30.716,7.964,18.236
310,250,29.216,0.4881774370208105,0.04229415826124011,31.748,8.384,19.272
320,250,29.3,0.4857135836177475,-0.02780264158432615,32.408,8.724,19.928
330,250,28.152,0.4764865018471156,0.12805023796314527,31.508,8.516,19.224
340,250,27.98,0.4539087919942817,0.3608451146785449,32.224,8.82,19.208
350,250,27.188,0.4745570104457848,0.20313359618475707,31.62,8.856,19.2
360,250,27.744,0.46344982698961945,0.2671798350748307,31.772,8.676,19.172
370,250,29.556,0.478322371092164,0.02541712931778918,32.46,8.964,19.504
380,250,28.892,0.4511538142046241,0.10940643195840397,31.776,9.08,18.964
390,250,28.436,0.44877704318469536,-0.03998094934669081,31.568,8.708,19.252
400,250,30.3,0.4541734653465346,-0.040628037597515904,33.588,9.012,19.908
410,250,29.56,0.4788828146143438,0.028813850592854,32.996,8.248,19.212
420,250,27.392,0.4618084112149532,-0.2326608691157086,31.624,8.112,18.752
430,250,26.912,0.45571343638525574,0.0922123910542157,30.792,8.16,18.38
440,250,26.784,0.4542341696535246,0.12245730070613174,31.328,8.476,18.688
450,250,27.572,0.4732760771797475,0.02678878617745576,32.424,8.228,18.876
460,250,28.02,0.45843197715917205,0.14226325411514656,32.82,8.396,18.94
470,250,27.64,0.4702448625180897,0.21814052386478158,32.044,8.164,18.84
480,250,27.832,0.4711135383730958,0.06232060276588293,32.408,8.368,18.724
490,250,29.296,0.48730202075368645,-0.10982355383678098,33.628,8.488,19.896
500,250,30.82,0.46716002595717065,0.06556427594323956,33.416,8.444,19.276
