tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,500,14.906,0.31386797262847166,0.12159478462335295,6.536,4.274,5.424,6716.064952087729,13.432129904175458,1.4309690811052556,11.529600405545605,0.2823545724175025,9.639506608425648,0.06762016242983837,12.523847098276423,1.0,0.08329102877970812,6.725562436536142,12.96148139681572,35.94440151122286,1.4309690811052556
20,500,16.11,0.36530031036623223,0.09600129997222176,11.894,5.898,9.074,7387.6380247603265,14.775276049520652,1.4859942891369484,11.958333156539327,0.3403764199084742,9.746120484625388,0.09427311417245299,13.382364763574682,1.0,0.15114597585969783,9.230766587919573,12.477930023182598,46.4327470649756,1.4859942891369484
30,500,18.61,0.39097066093498123,0.11736081122222945,17.018,6.866,12.532,8718.014882167481,17.43602976433496,1.0,13.47417809379925,0.36984226955865496,10.98744894420106,0.1122185233539652,15.479384251025506,1.0,0.21669904200174228,11.994391115220266,14.951326683943154,57.44562646538029,1.0
40,500,22.076,0.3928255118680921,0.08783419369474799,22.538,8.088,15.868,10180.684687756704,20.36136937551341,1.0,15.593302275610522,0.3790416875693905,12.6435615661951,0.1169864482030325,17.979365091722098,1.0,0.2871795936611912,14.56461230337151,16.522905618209908,69.2820323027551,1.0
50,500,24.736,0.42173156532988365,0.12680418510748442,28.674,9.084,19.19,11485.822780796536,22.97164556159307,1.0,17.156138671645895,0.4007729496940189,13.7652314105479,0.12873487072984735,20.014393739769517,1.0,0.36602061181886647,17.47476625600362,16.944251481763082,80.94442537939226,1.0
60,500,27.9,0.433663082437276,0.17593096083683288,35.07,9.986,22.808,12957.491506964849,25.914983013929696,1.0,18.761173833764545,0.4171866271484208,15.103598657739749,0.14024930366203325,22.280424691812637,1.0,0.4462537792894685,20.534881801998235,18.52270889514928,93.91485505499116,1.0
70,500,29.428,0.44521217887725983,0.1637419400398629,37.092,9.428,23.466,13521.414992938015,27.04282998587603,1.0,19.027948383731932,0.4349237552963905,15.281260814576992,0.15220743767933387,22.926710126127983,1.0,0.45899443438273224,22.55406726497595,18.60878532836493,106.83164325236227,1.0
80,500,29.044,0.45458779782399117,0.21951570017270788,36.214,8.758,22.618,13492.649571563303,26.985299143126607,1.515716566510398,18.803360527681093,0.44360566949656643,15.014467450174807,0.15791715810519447,22.723857391825515,1.0,0.43586988526131176,23.41129922063649,17.663521732655692,111.56164215356458,1.515716566510398
90,500,26.714,0.4702413715654712,0.07877036348839589,32.108,8.188,20.206,12500.958091257364,25.001916182514726,1.0,17.4858085030931,0.44845554488053674,13.789668237827575,0.16053842889739922,20.988147839149352,1.0,0.38088094986740356,22.88026211702155,17.3069948436889,122.4499897917513,1.0
100,500,23.886,0.4711169722850206,0.15089280726090198,26.598,7.686,17.274,11294.433051776417,22.588866103552835,1.4142135623730951,16.0632606310161,0.4418294642147471,12.608439495801424,0.1550726774007809,19.085950157427153,1.0,0.3227209022407267,20.48849309746182,15.716233645501712,111.86152153444006,1.4142135623730951
110,500,23.76,0.45512626262626266,0.10157973371576072,25.92,7.928,17.576,11367.671838036264,22.735343676072528,1.7320508075688772,16.234472800308993,0.4368477822984973,12.803459211386079,0.15233154002150484,19.272033760978218,1.0,0.31734963696808177,20.365362817798168,16.084672078551712,118.50316451470822,1.7320508075688772
120,500,24.214,0.43517518790782184,0.08514793602122016,26.068,8.066,17.664,11360.034432510627,22.720068865021254,1.0,16.28717540123708,0.4333898267039429,12.873422156908045,0.14989322131985705,19.31448455423423,1.0,0.32126961173842233,19.9580204867058,15.92030141655138,111.95981421920992,1.0
130,500,24.178,0.43827760774257585,0.024125566512231546,26.448,7.888,17.79,11471.080156814212,22.942160313628424,1.0,16.57197399800718,0.4282268781381622,13.117710624778084,0.14689205647030812,19.572139205288057,1.0,0.33016624084426643,20.110161334475205,16.34424003946672,122.4499897917513,1.0
140,500,24.182,0.4322959225870482,0.14491349780268933,28.182,8.36,18.242,11395.375117315753,22.790750234631506,1.3195079107728942,16.774030582225045,0.4162085100593218,13.305046036341388,0.1381387347114812,19.642464834094117,1.0,0.35182035542795786,18.848790809842203,16.619479851194885,106.54576481493763,1.3195079107728942
150,500,25.294,0.4516272633826204,0.10280014691495043,30.314,8.486,19.1,12085.916958554115,24.17183391710823,1.3195079107728942,17.32164897368346,0.429249724729156,13.796080861990646,0.14799470108209434,20.594530581939768,1.0,0.37918083206845515,20.69140857744709,18.03810930848901,103.40212763768452,1.3195079107728942
160,500,25.612,0.46211151022957986,0.14389114228910793,31.536,8.652,19.72,12289.058828566678,24.578117657133355,1.189207115002721,17.611993907194993,0.4333370185201999,13.927509430752506,0.14965688898116636,20.899833031553705,1.0,0.39100729285541463,21.449655123393093,17.549506434526343,115.49025932952095,1.189207115002721
170,500,26.05,0.4631246065259118,0.026947541572362014,31.948,8.702,19.81,12253.378962691697,24.506757925383393,1.0,17.395104415358837,0.4406315722979257,13.708306648797057,0.15418556208077006,20.72816967988079,1.0,0.39585811428824874,21.852764392902046,16.561737438732962,124.8559169603107,1.0
180,500,24.618,0.45624031196685344,0.149639663848261,30.398,8.564,18.96,11464.269503245614,22.928539006491228,1.0,16.01233894564087,0.44815362594509467,12.653031113108646,0.1598609632963961,19.263160673934546,1.0,0.3756121877943973,20.690618102377996,15.235170721300161,118.94536560959406,1.0
190,500,24.694,0.45589487324856237,0.12317959537935155,29.77,8.174,18.72,11705.44542143857,23.41089084287714,1.0,16.314907923316188,0.44730462963503426,12.939090984977767,0.16062591068626897,19.650495181263164,1.0,0.36778417562242705,21.462100635112648,15.853008559178269,118.79393923933999,1.0
200,500,24.542,0.44610594083611765,0.13381693742273887,29.676,8.268,18.532,11623.659426856473,23.247318853712947,1.0,16.25692536704126,0.44444045748425465,12.915269827086426,0.15967104939724697,19.535395056668197,1.0,0.361544744963001,21.508440684719307,16.132880775847198,120.66482503198685,1.0
210,500,23.92,0.43443678929765883,0.14799175631567685,28.884,8.108,17.97,11358.797462605868,22.717594925211735,1.3195079107728942,16.470645538168007,0.42122880253932204,13.148289618291416,0.1451053055330711,19.42115137261234,1.0,0.35399370824611454,20.167720851625944,17.277098007651432,128.96511156122807,1.3195079107728942
220,500,21.748,0.4156369321316902,0.1003607964596425,27.546,7.5,17.208,10384.910168749364,20.76982033749873,1.0,15.611114017086482,0.399700327796066,12.468116340335088,0.12943798646126403,18.08141661385068,1.0,0.3394805414165155,16.86666608381681,15.984359711335657,87.90904390334363,1.0
230,500,22.864,0.4266452064380686,0.05745517700063706,29.282,8.014,18.314,10696.914558991873,21.393829117983746,1.0,15.949477249306137,0.4036498561096551,12.758213072875057,0.1321561675385199,18.56650265277702,1.0,0.3636420216665348,17.540846620718046,16.06225774829855,102.4987804805501,1.0
240,500,24.272,0.4404202373104813,0.10769140976217846,30.216,8.292,19.176,11006.396955537646,22.012793911075292,1.0,16.056171615260606,0.4210474958537105,12.744362158073235,0.1423765316795037,18.878688661440695,1.0,0.3796948832652413,18.945919305058773,16.072005542666467,114.49017425089369,1.0
250,500,24.38,0.44432026251025425,0.13611999904856306,29.24,8.294,18.454,11157.531405379035,22.31506281075807,1.0,16.334993827241284,0.41728264698003836,13.003374333559128,0.1403484364859071,19.183178635183364,1.0,0.36428049511787025,19.001847169266387,16.283203960435564,122.50714264890844,1.0
260,500,23.838,0.44448947059317057,0.12681236099272933,28.878,8.404,18.704,11126.627615076392,22.25325523015278,1.2599210498948732,16.045118454303548,0.4307514105342145,12.667634150786585,0.148821344637608,18.941495864237563,1.0,0.35884784846807416,19.874173562368732,16.230007866488144,114.98260738042082,1.2599210498948732
270,500,22.692,0.43779587519830776,0.2429385019401272,27.898,7.948,17.902,10539.31453362971,21.078629067259417,1.2457309396155174,15.292558835598909,0.4239144554240435,12.143093505126727,0.1461591254154252,17.99779507783262,1.0,0.3430112245463712,19.012761513439667,15.311623594324706,127.99609369039352,1.2457309396155174
280,500,22.704,0.4553414376321354,0.16163893977078547,28.63,8.424,18.646,10869.319487553814,21.738638975107627,1.0,15.62965919529319,0.43029993401970246,12.384504058440683,0.14961375165900925,18.486239642081014,1.0,0.35202509954481886,19.67439626343693,15.735057469697132,120.41594578792296,1.0
290,500,22.706,0.45522469831762535,0.1340660539727688,29.052,8.362,18.682,10559.32049058912,21.11864098117824,1.4142135623730951,15.036730236286418,0.43748708608377296,11.879508276273219,0.1539301168625049,17.867846106968187,1.0,0.35650218331296324,19.44047905589146,15.198684153570662,121.73742234826561,1.4142135623730951
300,500,22.572,0.43817721070352644,0.10111193149440326,28.982,8.106,18.208,10401.823513989671,20.80364702797934,1.0,15.425569151115559,0.409732549711471,12.2797156879079,0.1350126159484646,17.99489222146335,1.0,0.35549857422698017,17.190198401521393,15.957074497068692,112.3654751247019,1.0
310,500,22.694,0.4357587027408125,0.15276624897081978,28.458,7.866,18.05,10583.480587409249,21.166961174818496,1.0,15.587605978688206,0.40975567147600933,12.493678785524123,0.13592422654306224,18.289858348864264,1.0,0.34989848305293175,17.18994374691308,16.725854077546032,103.41663309158734,1.0
320,500,23.67,0.44385213350232355,0.09074006266948752,29.684,8.352,19.078,10948.082883934656,21.896165767869313,1.0,16.132105245756232,0.4133369101100246,12.845672266121317,0.13776493083573615,18.879642005290982,1.0,0.36250658817183107,18.24983384105182,16.722373899869822,99.498743710662,1.0
330,500,24.18,0.4471745244003309,0.20178733250373904,30.084,8.388,19.02,11225.78757265837,22.45157514531674,1.7187719275874789,16.55018442018518,0.4172991852840138,13.08255112883325,0.13947257883954478,19.320196060789584,1.0,0.36608216617927813,19.225202434848367,16.82094082086433,111.12155506471281,1.7187719275874789
340,500,24.246,0.4411902994308339,0.09415467808302468,30.938,8.088,19.468,11254.745777356831,22.509491554713662,1.0,16.257736121327707,0.42422280428595927,12.960451924321916,0.14580987757924146,19.227385346749895,1.0,0.378859131763944,19.550098080843693,16.782561917004273,119.49895397031725,1.0
