tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,500,15.042,0.3195731950538492,-0.00782176081847558,6.45,3.802,5.298,6707.893460782113,13.415786921564226,1.2599210498948732,11.49011414501715,0.28639476084164706,9.573575834660343,0.06878173971369672,12.493025757470779,1.0,0.08187733641479683,6.810710953313429,12.624474911593556,35.4964786985977,1.2599210498948732
20,500,16.846,0.3738599073964146,0.10881403945224272,11.54,5.442,8.576,7448.716057519278,14.897432115038557,1.0,12.018050122209413,0.3400669244969554,9.831308192775221,0.09476564563185608,13.48566734240018,1.0,0.14614236229148536,9.226709577912342,13.046138414424572,47.434164902525694,1.0
30,500,18.984,0.4098769490096923,0.09973721432253342,17.15,6.746,12.294,8558.74753724596,17.11749507449192,1.0,13.212537700247585,0.37251480576043994,10.740974721712275,0.1131528824400313,15.180601166660121,1.0,0.21650107871017207,11.818341885812524,14.033296558812252,58.864250611045755,1.0
40,500,21.666,0.4221070802178528,0.11380439449390375,22.196,7.392,15.016,9896.02012977672,19.79204025955344,1.4757731615945522,15.11415122971957,0.3824004496243758,12.223555165316457,0.11855413712024332,17.445612004732965,1.0,0.27973092786953757,14.229132307998595,15.733025222170575,68.81860213634101,1.4757731615945522
50,500,24.658,0.43632654716522024,0.12566464232253927,28.46,8.25,18.292,11215.850340655903,22.431700681311806,1.0,16.68918787349916,0.4018073472277095,13.418478536747905,0.1298488959531533,19.51896911349187,1.0,0.35960266368172494,17.058387185033215,17.406681880112338,80.24961059095551,1.0
60,500,27.432,0.44553105861767284,0.08486839527771242,34.52,8.924,21.568,12615.229448419985,25.23045889683997,1.0,18.41191377513023,0.4156328460736931,14.743851457801043,0.1382532323870983,21.74226639974202,1.0,0.43570632127691594,19.927300924361425,18.3575395453368,91.65151389911681,1.0
70,500,29.14,0.45360576527110497,0.11296910545813474,37.714,8.99,22.794,13251.92920574011,26.50385841148022,1.6437518295172258,18.862966679896523,0.4339716803181679,15.00193444173534,0.15000353647794373,22.52818591944749,1.0,0.46476017769549516,22.19376666682358,18.948357883414538,103.05338422390601,1.6437518295172258
80,500,27.884,0.46111060106154067,0.10741278074434434,37.028,8.394,22.258,13278.174371154368,26.556348742308735,1.2599210498948732,18.767076076345813,0.4420975359662773,14.815852399072895,0.15494636251634575,22.441539102972463,1.0,0.4458732929261843,23.178198683338326,17.907081403113487,109.4988584415381,1.2599210498948732
90,500,25.494,0.46478904840354596,0.01979879802433426,34.16,7.5,20.08,11813.07120629367,23.62614241258734,1.0,16.532589444773333,0.4456223737409277,13.09780474834896,0.15957142298605775,19.856085248139525,1.0,0.4063236644769902,21.725074356461413,16.169229415906255,121.96310917650467,1.0
100,500,22.604,0.4449032029729252,0.2756136580852176,27.032,6.406,16.384,10642.349398939186,21.284698797878374,1.7099759466766968,15.505211033126562,0.4242379561780072,12.254921682001966,0.1459631057181603,18.177918057064453,1.0,0.32778327059638934,19.351489661555885,15.302953365400494,117.26039399558574,1.7099759466766968
110,500,22.348,0.4301184893502774,0.1962205371520156,24.138,6.548,15.38,10349.69837482465,20.6993967496493,1.4309690811052556,15.31238655381927,0.41121458275060796,12.187502952052972,0.13774494637020707,17.84815945447322,1.0,0.2951416849016916,18.01310944034236,15.48623165855922,124.84790747145105,1.4309690811052556
120,500,23.22,0.4361457364341086,0.12690648013425704,25.478,6.898,15.946,10703.780831457858,21.407561662915715,1.0,15.853943112768166,0.40888931173008247,12.654238508746808,0.13522258709393398,18.51277579148333,1.0,0.3149296916121745,17.78932129366153,16.204790762841746,117.44786077234443,1.0
130,500,23.26,0.44934376612209803,0.029796143806803198,26.618,7.12,16.316,10629.515329423684,21.25903065884737,1.0,15.413176576347581,0.42053941723397337,12.318770294616524,0.14229766925606924,18.23392014545007,1.0,0.3330816878852226,17.706080355793606,15.535144137336179,112.44554237496477,1.0
140,500,24.642,0.45370034899764633,0.18786531387396396,26.456,6.876,16.052,11209.367173561805,22.41873434712361,1.7411011265922482,16.202940792858584,0.4260117564832142,12.868089949774916,0.14523081689237372,19.16284324419773,1.0,0.3305474803581933,19.09633746811853,16.830693316860692,124.49096352747858,1.7411011265922482
150,500,26.138,0.4615448771902977,0.046039902509706555,28.932,7.346,17.324,12042.708947590698,24.085417895181397,1.0,16.965940669822327,0.4367982458306461,13.56494960846811,0.15377409637979567,20.38170452242012,1.0,0.35771303699002327,21.06168051572991,16.64067058441523,117.57550765359257,1.0
160,500,26.76,0.4662272047832585,0.09823634768527297,30.656,7.522,17.838,12065.042917025197,24.130085834050394,1.5848931924611136,16.822994592953428,0.4474030046697399,13.33421292895752,0.16000945680981526,20.269043906969774,1.0,0.3767657524647492,21.68432118864282,16.610199053463134,121.93440859740946,1.5848931924611136
170,500,26.1,0.46910896551724135,0.13875665025241793,30.266,7.722,18.21,11964.745088783668,23.929490177567335,1.3195079107728942,16.581433470327084,0.44966321193160863,13.169278764436527,0.16198804460437188,20.05319885532368,1.0,0.36936421240284295,21.67054272458333,16.309506430300093,114.2628548566856,1.3195079107728942
180,500,25.706,0.45510635649264763,0.08082217528084364,29.524,7.364,17.672,11849.104289500247,23.698208579000493,1.515716566510398,17.003303669556246,0.4324758788545784,13.449304996518146,0.14958138911020313,20.153397620330267,1.0,0.364631142363057,20.86371852012883,16.870430853490376,115.47727049077666,1.515716566510398
190,500,24.868,0.4517732025092489,0.05619669362876516,30.494,7.666,18.2,11575.093089434286,23.15018617886857,1.3195079107728942,16.500742217429586,0.4336468185201201,13.111181594253758,0.15162129513225053,19.640124967875792,1.0,0.3779626502506187,20.692499439815883,16.704109442991594,125.7179382586272,1.3195079107728942
200,500,23.498,0.44820512384032685,0.18374785483424105,29.382,7.642,17.742,11151.97766772052,22.30395533544104,1.3195079107728942,16.349457799937174,0.41129528093693546,13.130443759745956,0.13765214741691378,19.23376798762665,1.0,0.3693322296975491,18.414858932687327,17.074931591428456,111.78103595869918,1.3195079107728942
210,500,24.026,0.4322915175226838,0.10949549911034553,29.762,7.798,18.032,11294.252772395528,22.588505544791055,1.9472943612303364,16.764791931009988,0.41022619296390994,13.32210891040725,0.13456503974011313,19.54888239848648,1.0,0.3711398654018547,18.46228312171317,17.275831018921146,115.75836902790226,1.9472943612303364
220,500,24.252,0.438905162460828,0.06413676269692149,29.696,8.322,18.578,11561.221053691908,23.122442107383815,1.0,16.840613108126256,0.41947248951469907,13.423213752940022,0.14173684444470802,19.84514012722779,1.0,0.36835242175599225,19.575174261822493,16.95455851940965,127.16131487209465,1.0
230,500,23.776,0.45384589502018846,0.02694190364399544,28.628,8.052,17.872,11217.440165646662,22.434880331293325,1.0,16.14009087283568,0.42636282239746026,12.869481433093835,0.14590984383695504,19.16141044565354,1.0,0.35709545762578254,18.92451931666432,16.137658904092685,112.0624825711085,1.0
240,500,24.122,0.43991493242683033,-0.07699904255795861,27.722,7.626,17.558,11271.160704411435,22.542321408822872,1.0,16.453575663902274,0.4265381257814824,12.927161884339778,0.14445983811655028,19.285861307333075,1.0,0.3447489150475665,19.716771356661464,15.491888931547386,113.73653766490344,1.0
