tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,500,14.382,0.3203295786399667,0.04319158797293471,6.628,3.852,5.13,6316.479653388962,12.632959306777924,1.3459001926323562,10.73725705691908,0.28789247708815746,8.996025358995734,0.07123105247536232,11.733100319477709,1.0,0.08405229543103054,6.479699011002383,12.082421744135015,35.4964786985977,1.3459001926323562
20,500,15.424,0.37231690871369305,-0.0006982308346254644,12.078,5.178,8.406,6824.287230737034,13.64857446147407,1.0,11.280258857048198,0.3244649522305014,9.220090400817444,0.08661860606624161,12.466353966829882,1.0,0.15223280195472666,8.415359082140293,12.406258433506789,48.83646178829912,1.0
30,500,17.456,0.39670027497708515,0.05076893015690483,17.372,6.402,11.154,7539.565844503784,15.07913168900757,1.0,11.978930222861319,0.3582435830922943,9.677129522816937,0.10546073942125223,13.488875311254395,1.0,0.21844306396415736,10.796649704878103,13.040122008830437,62.048368229954285,1.0
40,500,19.58,0.40789989785495395,0.0022244618077068,22.93,7.008,13.528,8629.842286117178,17.259684572234356,1.148698354997035,13.480340854527691,0.37145369401305817,10.848510980377714,0.11375386301780632,15.296328777673864,1.0,0.2881778489794948,13.177142406236982,13.989032895714331,74.48489779814429,1.148698354997035
50,500,21.3,0.4193896713615024,0.09007106230055903,29.2,7.97,16.552,9517.365332671052,19.034730665342103,1.0,14.60220717820592,0.3905755836560856,11.600229625989721,0.12429371335522355,16.668833308230187,1.0,0.3675395356398352,15.699015151633503,14.393275549182379,86.7928568489366,1.0
60,500,23.12,0.453478892733564,0.11234237099103862,35.754,8.564,19.514,10323.148407259901,20.646296814519804,1.0,15.226663100747649,0.4143761675036952,12.090963467375337,0.14065403164127632,17.742311929095152,1.0,0.44775334864668537,18.351662713676255,15.197315913388568,97.99489782636644,1.0
70,500,23.762,0.45947967342816254,0.10022430984129402,38.478,8.15,20.284,10438.947178334434,20.877894356668868,1.3195079107728942,15.214070370465286,0.424207145087365,12.021342396190759,0.1479269703301216,17.7894906976145,1.0,0.4699673064113285,19.669580412973055,15.215115182649239,111.47196957082978,1.3195079107728942
80,500,23.566,0.4614554867181533,0.0015132260622278306,38.748,8.056,20.354,10545.583995945555,21.091167991891112,1.0,15.372168736889464,0.42699517752539706,12.085340970975594,0.1493546592867453,17.941103782502708,1.0,0.4654055665517072,20.231464699386322,15.186618086847659,118.73078791956195,1.0
90,500,21.31,0.433477053026748,0.06739243174927477,34.458,7.566,18.306,9821.910365327238,19.643820730654475,1.681792830507429,15.03991389099443,0.3930086204252623,11.923629845418793,0.1271987582061913,17.145151127290188,1.0,0.4087258093857982,17.10399903860585,14.966629547095767,122.75992831539126,1.681792830507429
100,500,19.242,0.42618584346741506,0.11299125973567536,26.448,6.802,14.678,8629.064733373969,17.25812946674794,1.0,13.233903889723765,0.3813033635653793,10.677546652230163,0.12256427352998756,15.142899366169505,1.0,0.320662192172127,14.29518472273184,14.110214205313737,91.03845341392834,1.0
110,500,19.63,0.4292994396332144,0.09992192731433573,25.928,6.612,14.39,8739.634905615883,17.479269811231767,1.5518455739153598,13.34417480143442,0.38936941220293075,10.67337679909602,0.1267830569349464,15.26319455157308,1.0,0.3155806996514109,15.11431177575272,14.075729541366528,100.46890066085126,1.5518455739153598
120,500,20.21,0.4335333003463633,0.06548647821516167,25.638,6.976,14.518,8946.99318603759,17.89398637207518,1.0,13.855652196463652,0.38203592150019183,11.057840799107563,0.12291209029486938,15.694599103375513,1.0,0.31422140520110187,15.643664052035108,14.298091446673016,113.84199576606166,1.0
130,500,19.906,0.41762101878830493,0.06973955382844023,27.568,7.288,15.236,8833.200215618175,17.66640043123635,1.0,13.822743704583832,0.3746434130075713,11.047799878119534,0.11642862535714738,15.609525714018588,1.0,0.33976625212880757,14.430073170436895,14.473160654134379,104.29765098025938,1.0
140,500,20.628,0.42558503005623427,0.10122317386758113,28.49,7.446,15.62,9205.693248060135,18.411386496120272,1.7187719275874789,14.444179848202072,0.3766185454985529,11.477316893339758,0.11667832203009065,16.26317681350549,1.0,0.3556411974364647,15.206282467736203,14.251935068577616,115.6503350622038,1.7187719275874789
150,500,21.232,0.427872268274303,-0.04367001956187807,31.598,7.978,16.876,9644.37780701523,19.28875561403046,1.148698354997035,14.925637579696877,0.38218346148089744,11.916912225801205,0.12126174607388784,16.94976742868062,1.0,0.39396908473953307,16.225168327056956,15.092492736102397,128.44064777164587,1.148698354997035
160,500,20.874,0.43222975950943754,0.19110163079978246,32.79,7.748,17.338,9542.727790943623,19.085455581887246,1.379729661461215,14.792222992981975,0.37908034228694665,11.850534547203113,0.11896386800392389,16.81497596324886,1.0,0.40682445769939907,15.519573161272831,14.73046173997459,113.44602240713422,1.379729661461215
170,500,20.196,0.41342919389978205,0.11723248510724234,32.418,7.35,16.65,9425.60092768438,18.85120185536876,1.0,14.935280958030427,0.36677340327968566,11.937082394962836,0.10972517854579344,16.78275036598563,1.0,0.4002679226436429,14.480560548172111,14.581022454827856,97.27281223445738,1.0
180,500,21.034,0.4198408291337834,-0.0481373853424791,33.24,7.324,16.866,9846.808817477875,19.69361763495575,1.3195079107728942,15.117539132457038,0.38844861366457595,12.043659166616944,0.1234340018158413,17.262755600042137,1.0,0.4102789781938648,16.2557650796241,15.28660243421545,111.45851246091524,1.3195079107728942
190,500,20.992,0.4203464176829268,0.06162141110935395,31.878,6.866,16.502,9992.007912057472,19.984015824114945,1.0,15.248195311282096,0.39300170459266837,12.130263540630914,0.12615824157389544,17.462867528159702,1.0,0.393304823386098,16.69614933505563,14.913694967523995,119.74138799930458,1.0
200,500,19.826,0.41324059316049633,-0.015030996116281435,28.696,6.406,14.9,9348.440880202432,18.696881760404864,1.0,14.369716746776042,0.38649408660606,11.470647522035684,0.12363873495901812,16.385222951870066,1.0,0.3535357499115528,15.683221306153303,14.716532225630306,101.75952043912156,1.0
210,500,19.988,0.4214660796477887,0.08910407609229817,28.112,6.304,14.842,9561.006858739674,19.122013717479348,1.4142135623730951,14.76296282072177,0.3866090593477316,11.729269981330237,0.12302154476128402,16.769594051008575,1.0,0.34627688765140385,16.16646168575808,14.459639856806042,109.83624174196784,1.4142135623730951
220,500,20.776,0.4151463226800154,0.08852002903685481,29.342,7.08,15.626,9549.30930478646,19.09861860957292,1.189207115002721,14.594405889557528,0.39222720354290175,11.607620840807712,0.1273166392154752,16.667046674543965,1.0,0.3629909641011846,16.54596325720157,14.490432879828617,105.52724766618334,1.189207115002721
230,500,20.326,0.41568808422709824,0.02005433612774506,30.53,7.13,16.378,9453.051351976363,18.906102703952726,1.888175022589804,14.470608209474097,0.3934321907730147,11.467833298156988,0.1275871251236972,16.49392741266204,1.0,0.3770991103594739,16.576755111994622,14.421848461720785,118.49050594878901,1.888175022589804
240,500,20.588,0.43076782591801055,0.004834025390192596,30.812,7.532,16.83,9557.291779413044,19.114583558826087,1.0,14.599137126550824,0.3940360036428976,11.582749442008021,0.12860851250170569,16.656285400235905,1.0,0.37966351559735984,16.900699544006283,14.226904249135815,132.15899515356494,1.0
250,500,20.146,0.42839571130745546,0.12757314161697914,31.426,7.468,16.664,9287.553824737994,18.57510764947599,1.615394266202178,14.299779751949446,0.38772995114947406,11.372982067948442,0.12373536330385826,16.2767099560598,1.0,0.3874639452071644,15.646789200367607,14.342740938719427,117.14947716485977,1.615394266202178
260,500,19.0,0.40701894736842115,0.07508998630790957,29.968,7.456,16.078,8649.093915909067,17.298187831818133,1.4142135623730951,13.667699445387013,0.361773296739631,11.040165392279917,0.11009301994663079,15.393778093809214,1.0,0.3724269090489639,13.476061454624233,14.068631019391859,108.24047302187846,1.4142135623730951
270,500,20.098,0.39706378744153636,0.0645588082372774,30.174,7.362,16.42,9015.600978916056,18.031201957832113,1.148698354997035,14.316159066614523,0.361591501854569,11.511272561656554,0.1100595726632625,16.046695575748128,1.0,0.3721105375087586,14.533991125014547,14.087404633696275,122.47448713915891,1.148698354997035
280,500,19.816,0.4091780379491321,0.026771309930721538,29.87,7.046,15.664,8911.226072249361,17.822452144498723,1.148698354997035,13.855148510183934,0.3710467196153211,11.209489740781427,0.11594112743029972,15.756096949292978,1.0,0.36683134495852504,14.160162734694387,14.292074693500922,116.0344776348823,1.148698354997035
290,500,19.716,0.41649868127409206,0.04859643139749948,28.866,7.37,15.626,9085.572161763046,18.171144323526093,1.4309690811052556,14.391227774514388,0.3663241368564243,11.514615563516884,0.11100666862939101,16.154026126987592,1.0,0.3568023203811855,14.357993808759236,14.422205101855956,103.68220676663861,1.4309690811052556
300,500,20.806,0.41258156301066995,0.05288944713771188,28.906,7.522,16.478,9396.384204057114,18.792768408114227,1.3195079107728942,14.787810650568883,0.3733240445058932,11.776976098534448,0.11475966541302873,16.636116593414503,1.0,0.3584180060514455,15.358255894787456,14.746057283983891,117.48191350161096,1.3195079107728942
310,500,20.676,0.443113174695299,-0.012388850713432535,29.926,7.864,17.122,9525.269505194405,19.05053901038881,1.0,14.030906712026185,0.41220499720191595,11.197811630916501,0.14074309529564244,16.369307183016303,1.0,0.3688893613445889,17.138095076078354,14.274920918271157,131.9659046875366,1.0
320,500,20.786,0.44403098239199457,0.008083253500122494,30.884,8.206,17.712,9595.100921576472,19.190201843152945,1.3195079107728942,14.285158166057082,0.409831491389659,11.32545280170499,0.13811363473283245,16.53977331533839,1.0,0.37575755993375937,17.19829148762531,14.337052018825975,116.11201488218178,1.3195079107728942
330,500,20.704,0.4341526275115919,0.016884982478738677,32.328,7.982,18.138,9706.33052381725,19.4126610476345,1.3195079107728942,14.93235678407936,0.39076808001123386,11.826812762141499,0.12522677935919346,16.981676025847566,1.0,0.3941136221085533,16.613506385211057,14.691889690399496,112.14276615100948,1.3195079107728942
340,500,19.928,0.4270618225612204,-0.03963909389485567,30.946,7.144,16.534,9384.604597494337,18.769209194988676,1.0,14.321122660445136,0.39399544355691174,11.374226292996646,0.12857637755675622,16.355932267092072,1.0,0.37786028405493255,16.45092877484906,14.081526983986922,107.49883720301351,1.0
350,500,19.626,0.42416773667583807,0.1698801493120344,31.54,7.514,16.448,9304.374640230191,18.608749280460383,1.3459001926323562,14.168575322093652,0.3943909531782561,11.269626914284425,0.1305229164996755,16.179881051963456,1.0,0.3856354677788014,16.804122028548463,14.43951869832846,110.34944494649713,1.3459001926323562
360,500,19.638,0.42841694673592023,0.11604819201378395,30.182,7.42,15.946,9177.581184116447,18.355162368232893,1.888175022589804,14.059179752560294,0.3884961175604946,11.22425305098192,0.12837145467588162,15.998883474210837,1.0,0.3728564751619357,16.74646345562855,14.304463711969163,111.78103595869918,1.888175022589804
