tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,500,15.016,0.31289184869472564,0.16976139254520914,6.66,4.41,5.638,6668.666430143061,13.337332860286121,1.5518455739153598,11.265654671787814,0.29773711367078803,9.366313870397976,0.07459803339541815,12.34239405816869,1.0,0.08478406557011328,7.013706573000058,12.84896037207718,35.651086939951774,1.5518455739153598
20,500,16.76,0.37702386634844864,0.22167804675912986,12.236,6.238,9.566,7597.164774139697,15.194329548279395,1.0,12.148711848937669,0.3442358745945733,9.96389622734927,0.09781492615839393,13.708097325488144,1.0,0.1553211388862158,9.536675867147434,12.909877352799342,48.744230427815765,1.0
30,500,20.568,0.36663710618436407,0.12060181787472266,17.35,7.208,12.942,9341.614220529947,18.683228441059896,1.0,14.652928221205796,0.35121675156883425,12.121365639172383,0.10383086255191976,16.743332716770087,1.0,0.21943964047557915,11.993731830994127,16.75543745648011,59.86651818838306,1.0
40,500,23.078,0.4073824421526995,0.08492342198131564,23.788,8.304,16.75,10622.120414502835,21.24424082900567,1.4142135623730951,15.972334285280551,0.3853757314346875,13.057225980752957,0.12227721796783297,18.646554162596207,1.0,0.3009357084922716,15.07811877286015,17.986100377805712,70.41306696913578,1.4142135623730951
50,500,26.444,0.4198339131750113,0.08366096283463521,30.012,8.91,20.064,12192.631734691546,24.38526346938309,1.3195079107728942,17.954802321225625,0.3987584877465684,14.66143268503025,0.13064322926070004,21.199493903369902,1.0,0.38119455716365824,17.98485139719954,19.201472778948418,81.84741901856161,1.3195079107728942
60,500,29.888,0.4240695931477516,0.1873024832663571,35.072,9.38,22.736,13892.307254682033,27.784614509364065,1.5518455739153598,20.456010987714087,0.4056772771751842,16.513027747843136,0.13281629932272998,24.094364832121702,1.0,0.4437205191681897,20.9618512531613,21.2331566595324,93.27379053088816,1.5518455739153598
70,500,30.8,0.44347324675324673,0.17487733677528203,38.368,9.41,24.212,14421.11770175393,28.84223540350786,1.379729661461215,20.610414689767506,0.42533318921421204,16.574675435266805,0.14572488208101275,24.639204050378865,1.0,0.47380576487301135,23.315280441023553,20.117808141610194,104.69479452198185,1.379729661461215
80,500,30.1,0.4608164784053157,0.10512649545270988,37.424,8.918,23.08,13945.365234059638,27.890730468119276,1.515716566510398,19.33410215440748,0.44899467999935694,15.367940866637747,0.16077398131755127,23.40662668890501,1.0,0.4495150957743703,24.48400903896469,18.326512797656918,112.56997823576229,1.515716566510398
90,500,27.29,0.4560493953829241,-0.007060959859584448,33.186,8.18,20.728,12816.73469677446,25.633469393548918,1.148698354997035,18.296876159458673,0.43815372592731516,14.402069270321663,0.15321294309482103,21.70609010603227,1.0,0.39023864390745555,23.05611870160814,17.306062270739677,125.33156027114639,1.148698354997035
100,500,23.862,0.45597435252703034,0.06727164437284994,26.82,7.644,16.816,11004.050625252334,22.008101250504666,1.0,15.644375775824482,0.4380970296849045,12.36641746365394,0.15488563824142176,18.59936244183842,1.0,0.3202031566133677,20.386034853145826,15.492740130317085,109.36178491593851,1.0
110,500,23.614,0.4443626662149571,0.13741381483845452,25.736,7.816,16.266,10738.837499285279,21.477674998570556,1.0,15.078730966017067,0.4388417618889895,12.052374260918754,0.15751318801306513,18.094657938437205,1.0,0.31103242388923114,19.966043042076947,15.7687829251303,122.49081598226047,1.0
120,500,23.798,0.447866039162955,0.13552717072277104,27.052,8.49,17.368,11073.329549374725,22.14665909874945,1.5518455739153598,16.02595696752944,0.4241592264764711,12.752949306385782,0.14558894154590596,18.92235044178451,1.0,0.33117566291962247,19.41698647096614,16.881943016134134,115.59844289608749,1.5518455739153598
130,500,25.64,0.42420780031201244,0.17602765215616606,29.022,8.736,18.708,11832.462638072786,23.66492527614557,1.0,17.59251454459879,0.4097236259682526,13.968846283735456,0.13476794224552247,20.47565199328538,1.0,0.35970500472312605,19.792296546725233,17.893055074258683,124.97999839974395,1.0
140,500,26.164,0.4545965448708149,0.09075452422232799,30.646,8.676,19.274,12176.993630712857,24.353987261425715,1.0,17.69417052763524,0.42153380326323586,14.087958386492534,0.14240671221030954,20.885816006314318,1.0,0.3828318265248496,20.4461647878707,18.168554026453172,137.0985047329109,1.0
150,500,27.216,0.4486669606114051,0.08474079595671077,32.526,8.968,20.208,12494.959584202137,24.989919168404274,1.0,17.96684921409651,0.42558347245747274,14.354622592283224,0.14527038228410027,21.35962405756142,1.0,0.4074557023253812,20.795706006800614,18.248102452204158,117.72850122209151,1.0
