tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,400,15.6675,0.3698240785064624,-0.03033791057827715,7.51,5.69,6.0775
20,400,20.66,0.40332587124878994,0.08012078309613878,13.3225,7.0425,9.5875
30,400,26.46,0.41743102796674236,0.0983594044236509,19.8225,8.3825,13.355
40,400,32.81,0.421977674489485,0.13806097971872452,27.1625,9.1175,17.0575
50,400,38.91,0.4322076586995631,0.09636357921348421,34.91,10.3675,20.935
60,400,45.73,0.42772550841898105,0.12048194356008411,42.2175,10.665,24.355
70,400,47.565,0.4465342163355408,0.19468705925768412,44.19,10.2375,24.715
80,400,46.86,0.48442248186086223,0.07311115176022545,43.7925,9.77,24.1225
90,400,41.3125,0.5036881996974283,0.09874160005621732,36.855,9.1,21.1125
100,400,33.04,0.5045600030266344,0.11328684988738073,28.715,8.515,16.865
110,400,31.715,0.4742976509538075,0.01876570966670198,27.5675,8.52,16.56
120,400,34.2625,0.4735441444728201,0.1748204898829327,30.4475,8.8425,18.5
130,400,36.5775,0.4808220559086871,0.11333167491476497,32.21,8.8,19.15
140,400,38.35,0.46905769230769234,-0.011925929461651396,33.4,8.8275,19.73
150,400,40.5875,0.4701994148444719,0.11052186959437324,36.135,8.9475,21.0325
160,400,41.8875,0.45771247388839154,0.031568146613908436,36.8575,8.8325,21.2075
170,400,40.845,0.464454645611458,0.20288338154042815,35.505,9.14,20.455
180,400,40.385,0.4775414757954686,0.1591912684767248,35.04,9.1025,20.2375
190,400,38.61,0.4909524734524735,0.12105609475731985,33.6075,8.885,19.3675
200,400,37.6975,0.47872554546057433,0.057806698611958474,31.9675,8.8625,19.1875
210,400,40.2825,0.46348181592502957,0.22378103045529993,34.9425,9.3775,20.5375
220,400,38.4375,0.47302682926829265,0.040068768192945324,33.585,9.0725,19.575
230,400,38.9475,0.4711927915784069,0.06394155720415784,33.6625,9.0975,19.69
240,400,42.405,0.46080385567739657,0.226639645762579,36.675,9.3025,21.0125
250,400,43.1275,0.4728811373253725,0.13982935979204053,37.95,9.395,21.0925
260,400,43.1575,0.4789603487227019,0.1031511232728891,35.815,9.045,20.8775
270,400,38.5575,0.48361197562082614,0.1363957722453964,32.8875,8.3525,18.9675
280,400,37.3325,0.4689755909730129,0.02217541221743978,31.475,8.5175,18.505
290,400,39.5075,0.46672926026703787,0.1043913379893701,33.1825,8.9075,19.7675
300,400,39.065,0.4686935236144887,0.16449835914604108,33.995,9.06,20.4925
310,400,39.215,0.462694759658294,0.024953387237414512,34.2475,9.13,20.5525
320,400,40.0475,0.4555195392970848,0.08156195097239705,35.185,9.035,20.7525
330,400,38.895,0.45637292711145405,0.09190161268031098,33.8925,8.345,19.7975
340,400,40.2875,0.4488354017995657,0.20585178649784658,36.1125,8.7975,21.1
350,400,38.835,0.4547888502639372,0.15929080017498543,35.225,8.57,20.375
360,400,36.2425,0.45234134648547974,0.11783651460214634,32.785,8.2675,18.8075
370,400,36.9775,0.4527809140693666,0.11752785012228688,32.935,8.4025,18.94
380,400,37.44,0.46150574252136756,0.013361569152682289,33.12,8.8,19.5625
390,400,38.765,0.4725325680381789,0.16380153006621911,33.7975,8.6875,19.7425
400,400,39.86,0.4734326392373307,-0.010177470481507432,34.455,8.88,20.4525
410,400,38.3675,0.4912095197758519,0.23913321157567904,33.6725,8.425,19.9
420,400,38.4525,0.4992261556465769,0.2395216233261573,33.46,8.57,20.0425
430,400,40.6875,0.49654116743471577,0.1065975033185348,34.3425,8.965,20.5375
440,400,39.37,0.4937941325882653,0.020624748449082703,33.29,8.605,19.835
450,400,38.4225,0.4814280369575119,0.19945972023464975,32.665,9.055,19.5675
460,400,38.735,0.47935910675100035,0.04152343843829743,32.805,9.0925,20.04
470,400,38.8875,0.4636317904210865,0.19303272714707365,33.58,9.35,20.31
480,400,40.5625,0.4537369799691835,0.12351517360851652,34.67,9.37,20.805
490,400,40.075,0.4640539613225203,0.13510142531714417,36.135,9.33,21.4625
500,400,38.7775,0.47513973953968147,0.12829750988048969,34.5725,8.7875,20.4875
