tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,14.928,0.3337834941050375,0.12659756545957615,7.836,8.404,7.66
20,250,17.444,0.3686961706030727,0.13360049615967157,14.036,10.696,12.548
30,250,20.656,0.3983284275755228,0.14245189904606564,20.52,12.052,16.988
40,250,24.896,0.40299871465295634,0.01930514287186815,26.924,13.176,21.308
50,250,29.088,0.42634323432343235,-0.015201932215521262,34.32,14.036,25.992
60,250,33.908,0.43685030081396725,-0.03469927634044735,42.02,14.856,30.688
70,250,36.476,0.4522412545235224,0.08559508374424601,43.588,14.744,31.208
80,250,36.336,0.45992162043152796,-0.0007707416494911069,42.404,14.276,30.176
90,250,33.628,0.483847745926014,0.06155652876789425,39.28,14.1,28.396
100,250,28.484,0.4478196882460328,-0.025664388882473226,30.52,12.688,23.184
110,250,27.224,0.44980076403173674,-0.008757117131172991,28.816,12.632,22.288
120,250,26.668,0.44258647067646617,0.13120340227594834,29.212,12.952,22.572
130,250,27.984,0.4336146369353917,0.0583092430028216,31.148,13.38,23.88
140,250,28.948,0.43905319883929805,0.06909914444465423,32.288,13.824,24.76
150,250,30.732,0.4515991149290641,-0.022003714366296643,35.852,13.716,27.1
160,250,28.984,0.4469853712393044,-0.01307802652631829,34.924,12.676,26.292
170,250,29.388,0.45046032394174484,0.061255719496744764,35.676,13.056,26.696
180,250,30.66,0.44250750163078933,-0.016030839448996494,34.48,12.76,25.712
190,250,29.224,0.42982315904735824,-0.025693834367926143,31.348,12.452,23.356
200,250,28.576,0.4373762597984323,0.07405442449167422,30.96,12.888,23.316
210,250,28.176,0.43427484383872805,0.04956248501939974,31.572,13.376,24.252
220,250,28.9,0.46951031141868516,0.07391351520406729,34.748,13.28,26.06
230,250,30.848,0.4617551867219918,0.02147056636365699,34.116,12.768,25.44
240,250,32.268,0.45419957852981274,-0.00703477917749356,35.016,13.368,26.324
250,250,31.308,0.4507438354414208,-0.021553931167174516,36.236,13.228,27.036
260,250,31.376,0.46938296787353395,0.23290051531715675,35.316,13.628,27.064
270,250,30.808,0.4566533367956376,0.11063939494604892,33.884,13.8,26.124
280,250,31.764,0.44347613650673723,0.10664999623741628,34.384,13.728,26.38
290,250,31.588,0.451953400025326,0.09788694857289713,33.172,13.708,25.728
300,250,31.012,0.4410282471301432,0.08740868233347225,33.24,13.452,25.484
310,250,29.684,0.45907182320441997,0.11880194720577862,33.288,13.676,25.712
320,250,30.576,0.4623118785975928,0.21677011833956225,35.14,12.576,26.988
330,250,29.544,0.4654405632277281,0.10854329034945427,33.3,12.728,25.332
340,250,28.728,0.45779560011138964,0.09969891212487277,32.02,12.42,24.756
350,250,29.736,0.4640365886467581,-0.00027568413604973723,30.792,12.116,23.628
360,250,29.208,0.4433897562311695,0.07156264134658859,32.324,12.908,24.668
370,250,28.528,0.45030398205272015,-0.07930501469870925,33.32,13.244,25.496
380,250,31.312,0.44910884006131835,-0.0004328228274015554,35.86,13.488,27.392
390,250,30.048,0.4564078807241747,0.17066700300364238,36.66,13.692,28.184
400,250,30.636,0.4557623710667189,0.02183314640386309,36.24,12.932,27.584
410,250,30.344,0.45569100975481147,-0.02023832167239115,34.696,12.676,26.556
420,250,28.064,0.46186659064994307,0.043154507227542535,30.428,12.42,23.744
430,250,30.016,0.45987846481876327,0.12184294086794205,32.584,13.292,25.36
440,250,30.404,0.4521284041573477,-0.1259767676487069,32.696,12.84,25.372
450,250,29.252,0.45782633666074113,0.09770337248561127,32.04,12.548,24.696
460,250,28.564,0.4675877328105307,-0.17639634732969914,32.864,12.752,24.824
470,250,27.424,0.4577981330221703,0.03024445355101931,31.26,11.96,23.524
480,250,28.188,0.4659633886760324,0.18849208115391505,33.32,13.232,24.952
490,250,30.848,0.45153319502074685,0.06760227930422093,34.7,13.576,25.856
500,250,30.14,0.4309112143331122,0.20817193516042143,34.596,13.46,26.264
