tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,18.176,0.3373116197183099,0.06711180570736125,8.576,8.8,8.204
20,250,22.96,0.37368501742160287,0.006798961645587985,15.384,10.604,13.42
30,250,28.708,0.4003204681621848,-0.029697673308619044,22.752,11.816,18.54
40,250,34.28,0.4293918319719954,0.09412109064606729,30.864,13.084,24.24
50,250,40.38,0.44035938583457157,0.06553434988896377,38.308,13.336,29.244
60,250,46.42,0.4427729426971132,0.057610568270961414,45.392,14.612,33.668
70,250,47.18,0.477982534972446,0.1537289509815736,45.328,13.616,32.972
80,250,47.256,0.4946571863890299,0.026372004902046536,43.672,13.636,32.064
90,250,42.624,0.5062087087087086,0.08603048646148434,38.356,13.496,28.332
100,250,31.804,0.46812174569236564,0.09011489661646764,27.128,11.688,21.0
110,250,33.588,0.45372156722639034,0.06168055959640968,28.668,12.376,21.904
120,250,35.892,0.44659266688955745,-0.02206768419078274,31.248,12.768,24.0
130,250,39.284,0.4606264127889217,0.11752782529307942,34.068,12.736,25.536
140,250,40.788,0.48019417475728154,0.19739093179934483,36.04,12.764,26.652
150,250,40.352,0.48289770023790646,0.060577356810095996,36.712,12.952,27.132
160,250,41.584,0.4920654097729895,0.007988795877667052,38.032,13.164,28.248
170,250,36.288,0.4849488536155202,0.01884691358065464,34.164,12.996,25.364
180,250,36.324,0.47918731417244786,0.025304384919745616,33.588,12.732,25.288
190,250,35.368,0.4977272110382267,0.04922473569168748,34.768,13.08,26.12
200,250,33.896,0.4803851781921171,0.06887172097566015,32.868,12.804,24.756
210,250,34.888,0.46398807612932824,0.0745569652334539,34.256,13.224,25.86
220,250,35.172,0.46567269418855917,0.032314765006863436,36.292,12.92,26.964
230,250,36.348,0.48660944206008594,-0.028566907222676286,35.0,12.06,25.82
240,250,37.328,0.47113759108444064,0.003518981189266945,35.792,12.412,26.228
250,250,35.244,0.476287822040631,0.032240462681879904,33.388,12.464,24.872
260,250,36.932,0.4754584642044839,0.08624493177405752,36.108,13.36,26.624
270,250,37.52,0.48039829424307046,-0.04217316036132964,35.464,13.096,26.788
280,250,37.16,0.4930480086114102,0.03271550429052687,33.324,12.392,25.348
290,250,38.04,0.4811701366982124,0.07620260436763655,33.256,12.392,25.504
300,250,38.808,0.4986130694702122,-0.006057790399622923,33.464,13.352,25.5
310,250,38.148,0.4999916116179093,0.016744516371111587,34.036,13.368,26.108
320,250,39.8,0.495864120603015,0.19045896914371419,34.348,13.036,26.276
330,250,39.216,0.5097878416972663,0.06572407935711279,34.9,13.304,26.652
340,250,38.592,0.5099253731343283,0.024345938798045596,35.636,12.944,26.972
350,250,36.96,0.4927411255411256,-0.030817355646506887,35.268,12.668,26.528
360,250,37.752,0.486500529773257,-0.03613784499177421,34.052,12.092,26.032
370,250,39.228,0.47552931579484037,0.034938995406680155,32.48,12.428,24.896
380,250,39.108,0.4779310626981692,0.15476371700227404,32.344,12.836,24.856
390,250,37.824,0.4850609137055837,0.024698135037677565,33.18,12.332,25.364
400,250,37.076,0.49489394756715943,0.16593549587599674,32.236,12.308,24.88
410,250,38.608,0.4776734355573975,0.08412763292057718,33.328,12.604,25.388
420,250,38.768,0.47727858027238956,0.04282204826920977,34.04,12.868,25.92
430,250,37.508,0.47157811666844407,0.1577490435793706,34.796,13.02,26.188
440,250,38.196,0.4877197612315425,-0.19365383712097795,36.284,12.268,26.968
450,250,34.0,0.4759764705882352,0.17824516433810803,35.132,12.28,25.892
460,250,35.788,0.4786028836481502,0.1885898424156949,35.396,12.536,25.74
470,250,35.232,0.4590426884650318,0.13325448457188077,35.476,13.268,26.008
480,250,35.232,0.4678546775658492,0.2227451858411779,34.9,13.012,25.676
490,250,35.976,0.4597829664220592,0.0943939083617813,33.988,13.272,25.624
500,250,34.988,0.4728126214702184,0.09421988082097199,33.492,13.572,25.492
